,Brand,Models,Price_in_Crores,Ranges,BatteryRange
131,Avon,Avon E Plus,0.0025,50.0,1.54
132,Hero,Hero Electric Flash,0.005964,85.0,2.52
133,Hero,Hero Electric Atria,0.007769,103.0,3.24
134,Ozotec,Ozotec Bheem,0.006599,85.0,3.0
135,Hop,Hop Electric LEO,0.008436,125.0,3.1
136,eblu,eblu Feo,0.0099999,103.0,2.18
137,PURE,PURE EV Epluto 7G,0.0089999,90.0,2.88
138,BattRE,BattRE Electric Storie,0.0117,132.0,3.24
139,Joy,Joy e-bike Gen Next Nanu Plus,0.0112,100.0,1.5
140,BattRE,BattRE Electric LoEV,0.00689,60.0,1.25
141,Benling,Benling Aura,0.0121,120.0,3.24
142,AMO,AMO Electric Jaunty,0.0059966,80.0,2.11
143,Ozotec,Ozotec Flio,0.0112999,60.0,3.2
144,Hero,Hero Electric Photon,0.011,103.0,3.24
145,Ather,Ather 450S,0.0129,115.0,3.24
146,Warivo,Warivo Motors Queen,0.00468,95.0,2.64
147,Lectrix,Lectrix EV LXS,0.0091253,89.0,3.24
148,Zelio,Zelio Gracy i,0.0056825,60.0,1.68
149,Ujaas,Ujaas eZy,0.003188,60.0,1.25
150,Komaki,Komaki LY,0.0095866,80.0,3.24
151,BGauss,BGauss D15,0.0134,115.0,3.24
152,HCD,HCD India NPS Cargo,0.007585,103.0,3.24
153,Gravton,Gravton Quanta,0.0099,70.0,3.24
154,Okinawa,Okinawa Dual 100,0.0119,110.0,3.24
155,Deltic,Deltic Drixx,0.005849,70.0,3.24
156,Ujaas,Ujaas eGo LA,0.003488,75.0,3.24
