,Brand,Models,Prices,Ranges,BatteryRange
0,Motovolt,Motovolt Urbn e-Bike	,"49,999	",120,0.72
1,EMotorad,EMotorad Nighthawk	,4.75 Lakh	,40,1.56
2,Essel,Essel Energy GET 1	,"37,500	",70,0.62
3,Essel,Essel Energy GET 7	,"43,500	",60,0.62
4,Hero,Hero Lectro F6i	,"57,999	",30,0.21
5,Hero,Hero Lectro C5	,"30,999	",30,0.56
6,Hero,Hero Lectro C8	,"36,999	",30,1.56
7,Hero,Hero Lectro C3	,"28,999	",25,1.56
8,Hero,Hero Lectro C6	,"34,999	",80,0.2
9,SVITCH,SVITCH XE	,"82,250	",70,0.4
10,Hero,Hero Lectro WINN-X	,"44,419	",55,0.28
11,Hero,Hero Lectro WINN	,"49,999	",100,1.56
12,Nexzu,Nexzu Roadlark	,"42,199	",100,1.56
13,Nexzu,Nexzu Bazinga	,"42,999	",32,0.27
14,Nexzu,Nexzu Rompus Plus	,"29,999	",30,0.28
15,Motovolt,Motovolt Hum	,"33,049	",30,
16,Motovolt,Motovolt Kivo	,"31,774	",30,
17,Motovolt,Motovolt Kivo Easy	,"31,774	",30,
18,Motovolt,Motovolt Ice	,"23,449	",25,
19,Hero,Hero Lectro C7+	,"34,999	",25,
20,Hero,Hero Lectro C9	,"43,999	",25,
21,Hero,Hero Lectro F2I	,"39,999	",25,
22,Hero,Hero Lectro C7	,"34,999	",25,
23,Hero,Hero Lectro C8i	,"39,999	",25,
24,Hero,Hero Lectro F3i	,"42,999	",30,
25,Hero,Hero Lectro C5X	,"38,999	",30,
26,Hero,Hero Lectro C1	,"32,999	",30,
27,Hero,Hero Lectro H3	,"28,499	",30,
28,Hero,Hero Lectro H5	,"29,999	",250,
29,Hero,Hero Lectro F1	,"38,999	",70,
30,Motovolt,Motovolt Kivo 24	,"31,774	",80,
31,Polarity,Polarity Smart Sport	,"40,000	",80,
32,Polarity,Polarity Smart Executive	,"38,000	",75,
33,Toutche,Toutche Heileo H200	,"62,900	",75,
34,Toutche,Toutche Heileo M200	,"62,900	",75,
35,Toutche,Toutche Heileo M100	,"53,900	",45,
36,EMotorad,EMotorad EMX	,"58,999	",45,
37,EMotorad,EMotorad T-Rex	,"42,999	",120,
38,SVITCH,SVITCH XE+	,1.18 Lakh	,35,
39,SVITCH,SVITCH MXE	,"66,500	",50,
40,EMotorad,EMotorad Doodle	,"79,800	",,
41,Firefox,Firefox Adventron	,"63,000	",40,
42,EMotorad,EMotorad X1	,"24,999	",45,
43,EMotorad,EMotorad X2	,"27,999	",,
44,EMotorad,EMotorad X3	,"32,999	",,
45,EMotorad,EMotorad Desert Eagle	,5.00 Lakh	,,
46,udChalo,udChalo VirBike	,"27,995	",,
47,Hornback,Hornback X1	,"44,999	",,
48,Revolt,Revolt RV400	,1.54 Lakh	,150,3.24
49,Ultraviolette,Ultraviolette F77	,3.80 Lakh	,307,4.4
50,Tork,Tork Kratos R	,1.37 Lakh	,180,
51,Oben,Oben Rorr	,1.24 Lakh	,200,5
52,Matter,Matter Aera	,1.73 Lakh	,125,3.6
53,Komaki,Komaki Ranger	,1.85 Lakh	,200,4.32
54,Odysse,Odysse Electric Evoqis	,1.71 Lakh	,,4
55,Kabira,Kabira Mobility KM 3000	,1.75 Lakh	,120,3.2
56,One,One Electric Motorcycles Kridn	,1.35 Lakh	,110,
57,Power,Power EV P-Sport	,1.57 Lakh	,210,3.75
58,Hop,Hop Oxo	,1.61 Lakh	,150,2.23
